business_size,business_stage,industry,revenue_trend,marketing_spend_pct,acquisition_trend,pricing_strategy,capacity_utilisation,workforce_size,attrition_rate_bucket,skill_gap_level,salary_competitiveness,workload_level,risk_tolerance,budget_flexibility,hiring_feasibility,planned_marketing_change,planned_retention_invest,hiring_plan,growth_target_hit,high_attrition_risk,expected_attrition_cost
11-50,Scaling,Tech,Flat,<5,Declining,Low-cost,Optimal,39,<5,Significant gaps,Market-aligned,High,Medium,Very limited,Moderate,+10,+3,Net new hires,1,0,26061.49
1-10,Mature,Services,Growing_fast,5-10,Declining,Premium,Optimal,9,10-20,Some skill gaps,Market-aligned,High,Low,Moderate,Easy,+5,0,Replace only,0,0,5942.22
51-200,Early-stage,Tech,Flat,5-10,Stable,Market-average,Optimal,83,>20,Fully covered,Market-aligned,Unsustainable,High,Moderate,Difficult,+5,+5,Replace only,0,1,65789.09
11-50,Mature,Other,Growing_fast,5-10,Stable,Market-average,Optimal,33,5-10,Fully covered,Market-aligned,Unsustainable,Medium,Moderate,Difficult,+5,+5,Net new hires,0,1,23976.18
11-50,Early-stage,Services,Growing_slowly,5-10,Increasing,Market-average,Optimal,41,>20,Significant gaps,Market-aligned,High,Low,Flexible,Difficult,+5,0,Replace only,0,1,34282.96
200+,Growth,Retail,Declining,5-10,Increasing,Market-average,Optimal,449,5-10,Significant gaps,Market-aligned,High,Low,Flexible,Easy,0,+5,Net new hires,0,1,360924.54
200+,Scaling,Services,Flat,5-10,Increasing,Market-average,Optimal,500,>20,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Moderate,+5,0,Net new hires,1,1,309629.9
200+,Early-stage,Other,Growing_fast,5-10,Stable,Low-cost,Optimal,547,10-20,Some skill gaps,Market-aligned,Unsustainable,Low,Moderate,Moderate,0,0,Net new hires,0,0,487003.24
1-10,Early-stage,Retail,Growing_slowly,<5,Declining,Market-average,Optimal,8,<5,Fully covered,Below market,Unsustainable,Medium,Flexible,Moderate,+20,0,Freeze,0,1,5981.02
11-50,Early-stage,Services,Growing_fast,>20,Increasing,Premium,Optimal,33,>20,Some skill gaps,Below market,Sustainable,Low,Moderate,Easy,-10,+3,Net new hires,1,0,21195.12
200+,Growth,Tech,Flat,10-20,Stable,Premium,Optimal,488,>20,Fully covered,Market-aligned,High,Medium,Moderate,Moderate,+20,+5,Replace only,1,1,381875.03
11-50,Scaling,Other,Growing_slowly,<5,Declining,Market-average,Optimal,26,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Very limited,Moderate,-10,0,Replace only,1,1,15729.59
1-10,Early-stage,Services,Growing_slowly,<5,Stable,Market-average,Under-utilised,8,10-20,Some skill gaps,Market-aligned,Sustainable,Medium,Flexible,Difficult,0,+10,Net new hires,1,1,4079.38
51-200,Early-stage,Tech,Growing_fast,<5,Increasing,Market-average,Over-stretched,133,<5,Some skill gaps,Market-aligned,Sustainable,High,Moderate,Easy,+20,+3,Freeze,1,1,33944.76
11-50,Growth,Other,Declining,<5,Stable,Market-average,Under-utilised,35,<5,Some skill gaps,Market-aligned,Sustainable,High,Very limited,Difficult,+5,0,Freeze,0,1,22490.72
11-50,Early-stage,Tech,Growing_fast,<5,Declining,Premium,Over-stretched,41,<5,Some skill gaps,Below market,High,Medium,Moderate,Moderate,0,+3,Replace only,1,0,33809.77
200+,Scaling,Services,Flat,<5,Stable,Market-average,Optimal,468,5-10,Fully covered,Below market,Sustainable,Medium,Very limited,Difficult,+5,+3,Replace only,1,0,328624.26
51-200,Mature,Services,Growing_fast,10-20,Declining,Market-average,Over-stretched,122,<5,Fully covered,Below market,High,Medium,Very limited,Moderate,0,+3,Replace only,0,1,99678.18
11-50,Scaling,Services,Growing_slowly,10-20,Stable,Market-average,Optimal,44,<5,Fully covered,Market-aligned,High,Medium,Moderate,Easy,-10,+3,Replace only,0,0,24885.71
11-50,Mature,Services,Growing_slowly,10-20,Increasing,Low-cost,Over-stretched,29,>20,Fully covered,Market-aligned,High,Medium,Very limited,Difficult,-10,0,Net new hires,1,1,22061.9
11-50,Growth,Tech,Flat,10-20,Increasing,Premium,Over-stretched,42,5-10,Fully covered,Above market,Sustainable,Medium,Flexible,Moderate,0,+5,Freeze,1,0,13593.88
1-10,Scaling,Tech,Growing_fast,10-20,Stable,Premium,Optimal,9,10-20,Fully covered,Below market,Sustainable,Low,Flexible,Easy,0,0,Replace only,1,1,5891.26
51-200,Early-stage,Tech,Flat,10-20,Declining,Low-cost,Under-utilised,135,<5,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,0,+10,Replace only,0,1,71535.23
51-200,Early-stage,Tech,Growing_slowly,>20,Stable,Low-cost,Optimal,112,<5,Fully covered,Market-aligned,High,High,Moderate,Difficult,+10,+3,Net new hires,0,0,56080.96
11-50,Scaling,Other,Growing_slowly,10-20,Stable,Market-average,Optimal,36,10-20,Some skill gaps,Market-aligned,High,Medium,Moderate,Difficult,0,0,Freeze,1,0,22133.75
11-50,Early-stage,Retail,Growing_slowly,10-20,Increasing,Low-cost,Over-stretched,30,5-10,Some skill gaps,Market-aligned,High,Medium,Very limited,Moderate,0,+5,Replace only,1,1,17868.5
200+,Mature,Services,Growing_slowly,10-20,Increasing,Premium,Over-stretched,412,5-10,Fully covered,Above market,Unsustainable,Medium,Moderate,Easy,0,0,Net new hires,1,1,256950.78
1-10,Scaling,Services,Growing_slowly,5-10,Stable,Low-cost,Optimal,8,>20,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Moderate,+20,0,Replace only,0,0,5833.63
11-50,Mature,Finance,Growing_slowly,<5,Increasing,Low-cost,Optimal,30,5-10,Fully covered,Market-aligned,Sustainable,Low,Moderate,Easy,0,+5,Freeze,1,1,17563.36
11-50,Growth,Tech,Growing_slowly,<5,Stable,Low-cost,Optimal,33,5-10,Fully covered,Below market,Unsustainable,Medium,Very limited,Moderate,0,0,Net new hires,0,1,25159.55
51-200,Growth,Tech,Growing_slowly,5-10,Stable,Market-average,Optimal,100,10-20,Some skill gaps,Below market,High,Low,Flexible,Moderate,+20,+3,Freeze,1,1,91001.26
1-10,Scaling,Retail,Growing_slowly,<5,Increasing,Market-average,Optimal,8,<5,Significant gaps,Below market,Sustainable,Medium,Very limited,Moderate,+5,+3,Replace only,1,1,5173.53
51-200,Early-stage,Services,Growing_fast,<5,Stable,Premium,Optimal,149,10-20,Fully covered,Below market,Unsustainable,Low,Moderate,Difficult,0,+5,Replace only,0,1,145098.99
11-50,Growth,Finance,Growing_slowly,<5,Stable,Premium,Over-stretched,46,5-10,Fully covered,Market-aligned,Sustainable,High,Moderate,Difficult,+10,+3,Replace only,1,0,27928.03
51-200,Scaling,Other,Flat,5-10,Increasing,Market-average,Optimal,101,<5,Fully covered,Below market,High,Medium,Moderate,Easy,-10,+5,Replace only,0,0,70575.82
1-10,Mature,Finance,Growing_slowly,>20,Stable,Low-cost,Over-stretched,6,5-10,Fully covered,Market-aligned,High,Low,Flexible,Moderate,0,+10,Net new hires,1,0,3884.26
11-50,Scaling,Tech,Declining,5-10,Stable,Low-cost,Optimal,34,5-10,Significant gaps,Above market,High,Medium,Very limited,Moderate,+5,+5,Replace only,1,0,20536.64
11-50,Early-stage,Tech,Flat,<5,Declining,Premium,Optimal,39,10-20,Some skill gaps,Market-aligned,Unsustainable,Medium,Very limited,Easy,+20,0,Replace only,0,1,28331.31
1-10,Growth,Tech,Growing_slowly,5-10,Stable,Low-cost,Optimal,7,>20,Some skill gaps,Below market,High,Medium,Very limited,Moderate,+20,+5,Net new hires,1,0,6045.02
1-10,Growth,Finance,Flat,5-10,Stable,Premium,Under-utilised,9,10-20,Significant gaps,Below market,Sustainable,Medium,Moderate,Easy,+5,+5,Net new hires,0,1,6368.51
1-10,Early-stage,Other,Growing_slowly,10-20,Stable,Premium,Optimal,8,5-10,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,0,+3,Replace only,1,1,7237.95
11-50,Growth,Other,Growing_fast,10-20,Stable,Market-average,Over-stretched,26,>20,Fully covered,Below market,High,Medium,Flexible,Difficult,+5,+5,Replace only,0,0,23597.65
1-10,Growth,Tech,Flat,<5,Stable,Market-average,Under-utilised,8,10-20,Some skill gaps,Market-aligned,High,Medium,Flexible,Moderate,+20,+3,Replace only,1,1,5146.02
200+,Early-stage,Finance,Declining,5-10,Stable,Premium,Under-utilised,374,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Very limited,Moderate,+5,0,Replace only,0,0,189944.84
11-50,Growth,Services,Declining,<5,Increasing,Market-average,Optimal,32,<5,Fully covered,Market-aligned,Sustainable,Low,Flexible,Easy,0,+5,Net new hires,1,0,12589.45
51-200,Early-stage,Finance,Flat,10-20,Stable,Market-average,Optimal,114,<5,Some skill gaps,Below market,Unsustainable,High,Flexible,Moderate,+20,+3,Freeze,1,1,93690.01
200+,Growth,Services,Growing_slowly,>20,Stable,Market-average,Optimal,507,<5,Some skill gaps,Below market,High,High,Moderate,Moderate,+20,0,Replace only,0,0,298266.93
1-10,Early-stage,Tech,Growing_slowly,>20,Increasing,Market-average,Optimal,8,5-10,Fully covered,Above market,High,Medium,Moderate,Difficult,0,+3,Net new hires,1,1,5509.08
51-200,Scaling,Tech,Growing_slowly,<5,Declining,Market-average,Optimal,113,5-10,Some skill gaps,Above market,High,Medium,Moderate,Easy,+5,+3,Net new hires,1,0,66501.0
200+,Early-stage,Other,Flat,10-20,Stable,Premium,Over-stretched,599,>20,Fully covered,Market-aligned,Sustainable,Low,Moderate,Moderate,+10,+5,Freeze,1,0,425142.6
51-200,Mature,Services,Growing_slowly,10-20,Declining,Market-average,Optimal,105,5-10,Fully covered,Market-aligned,Sustainable,High,Moderate,Difficult,0,+10,Freeze,1,0,42263.1
11-50,Early-stage,Services,Declining,>20,Stable,Market-average,Optimal,37,<5,Fully covered,Market-aligned,Sustainable,Low,Very limited,Easy,+20,+5,Net new hires,1,0,14456.88
11-50,Growth,Services,Growing_slowly,5-10,Increasing,Low-cost,Optimal,39,>20,Some skill gaps,Below market,Sustainable,Medium,Moderate,Easy,0,+10,Net new hires,0,0,29461.45
1-10,Growth,Services,Growing_slowly,5-10,Stable,Premium,Optimal,8,5-10,Significant gaps,Above market,Unsustainable,High,Moderate,Moderate,0,0,Replace only,0,1,4956.19
11-50,Early-stage,Other,Declining,<5,Increasing,Market-average,Optimal,30,<5,Some skill gaps,Below market,Sustainable,Medium,Very limited,Difficult,+20,0,Replace only,0,1,21297.3
200+,Growth,Tech,Growing_fast,<5,Declining,Market-average,Optimal,393,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Flexible,Easy,+20,+5,Replace only,0,0,248220.23
200+,Scaling,Tech,Growing_slowly,10-20,Stable,Low-cost,Over-stretched,499,10-20,Fully covered,Below market,High,Medium,Very limited,Easy,-10,+3,Net new hires,1,1,456171.77
1-10,Mature,Finance,Flat,5-10,Stable,Premium,Under-utilised,9,5-10,Some skill gaps,Market-aligned,Unsustainable,Medium,Moderate,Difficult,+10,+5,Replace only,1,1,6480.53
51-200,Growth,Services,Growing_slowly,<5,Stable,Market-average,Optimal,121,10-20,Fully covered,Market-aligned,Sustainable,High,Moderate,Moderate,+5,+5,Replace only,1,0,68850.18
11-50,Early-stage,Tech,Growing_slowly,10-20,Stable,Market-average,Optimal,28,10-20,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Easy,+10,0,Net new hires,0,0,15825.13
200+,Scaling,Tech,Declining,5-10,Increasing,Market-average,Under-utilised,458,10-20,Some skill gaps,Market-aligned,High,Low,Very limited,Moderate,+5,+5,Net new hires,1,1,257762.03
1-10,Growth,Tech,Flat,>20,Stable,Market-average,Over-stretched,9,>20,Fully covered,Market-aligned,High,Medium,Moderate,Easy,+20,0,Freeze,0,1,7134.68
200+,Early-stage,Tech,Growing_slowly,10-20,Increasing,Market-average,Optimal,389,10-20,Significant gaps,Market-aligned,High,Medium,Moderate,Moderate,+10,+3,Freeze,1,1,246245.1
51-200,Scaling,Tech,Growing_fast,>20,Increasing,Low-cost,Over-stretched,116,10-20,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Easy,+10,+5,Replace only,1,0,73799.09
1-10,Growth,Tech,Growing_slowly,10-20,Stable,Market-average,Optimal,8,<5,Some skill gaps,Market-aligned,Unsustainable,Medium,Very limited,Moderate,0,+5,Net new hires,1,1,6535.94
1-10,Scaling,Finance,Growing_slowly,<5,Increasing,Market-average,Under-utilised,9,5-10,Some skill gaps,Market-aligned,High,Medium,Moderate,Moderate,0,0,Replace only,1,0,7327.91
51-200,Growth,Other,Growing_slowly,<5,Declining,Market-average,Optimal,112,5-10,Some skill gaps,Market-aligned,High,Low,Moderate,Easy,0,+5,Replace only,0,1,78689.83
1-10,Growth,Other,Flat,>20,Stable,Market-average,Under-utilised,8,5-10,Some skill gaps,Below market,Unsustainable,Medium,Very limited,Moderate,-10,+10,Replace only,1,1,6323.98
11-50,Early-stage,Services,Declining,<5,Stable,Market-average,Optimal,42,5-10,Fully covered,Market-aligned,High,Low,Moderate,Difficult,+20,0,Replace only,1,0,26193.3
200+,Scaling,Services,Flat,5-10,Stable,Low-cost,Over-stretched,357,10-20,Significant gaps,Below market,Sustainable,Medium,Moderate,Moderate,+5,0,Replace only,1,1,287954.37
11-50,Early-stage,Other,Growing_fast,10-20,Stable,Premium,Optimal,28,5-10,Some skill gaps,Market-aligned,High,High,Flexible,Difficult,+5,0,Net new hires,1,0,23447.2
11-50,Scaling,Finance,Growing_fast,<5,Stable,Market-average,Optimal,35,5-10,Some skill gaps,Market-aligned,High,Low,Moderate,Difficult,0,+3,Replace only,1,0,28850.01
11-50,Scaling,Services,Growing_fast,<5,Increasing,Market-average,Optimal,40,5-10,Some skill gaps,Market-aligned,Sustainable,Low,Very limited,Easy,+10,0,Net new hires,0,0,21733.52
1-10,Scaling,Tech,Flat,5-10,Stable,Premium,Optimal,8,>20,Fully covered,Below market,Sustainable,Medium,Moderate,Moderate,0,+3,Freeze,0,1,6315.97
200+,Early-stage,Services,Growing_slowly,5-10,Increasing,Market-average,Optimal,529,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Very limited,Difficult,+10,0,Replace only,0,0,273157.12
11-50,Growth,Services,Growing_slowly,10-20,Stable,Market-average,Optimal,26,10-20,Fully covered,Below market,Unsustainable,Medium,Moderate,Moderate,-10,0,Freeze,1,1,23797.1
1-10,Growth,Services,Flat,<5,Stable,Market-average,Optimal,8,10-20,Some skill gaps,Above market,High,Medium,Moderate,Difficult,0,0,Replace only,1,1,5497.49
11-50,Growth,Tech,Flat,5-10,Stable,Premium,Over-stretched,20,5-10,Fully covered,Below market,High,Medium,Flexible,Moderate,0,+10,Replace only,0,1,14557.45
200+,Mature,Other,Growing_slowly,<5,Stable,Premium,Over-stretched,547,10-20,Some skill gaps,Market-aligned,High,Low,Moderate,Difficult,-10,0,Freeze,1,0,390979.31
1-10,Growth,Retail,Growing_slowly,10-20,Stable,Low-cost,Optimal,9,>20,Significant gaps,Below market,High,Medium,Flexible,Easy,+5,0,Replace only,1,0,7029.38
200+,Mature,Retail,Growing_slowly,<5,Increasing,Market-average,Optimal,435,10-20,Significant gaps,Market-aligned,Unsustainable,Low,Moderate,Moderate,+10,0,Freeze,1,1,344580.25
51-200,Early-stage,Tech,Flat,<5,Stable,Premium,Optimal,80,>20,Some skill gaps,Below market,Sustainable,High,Moderate,Difficult,0,+10,Net new hires,0,1,61687.62
51-200,Growth,Finance,Growing_slowly,10-20,Declining,Premium,Optimal,118,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Very limited,Moderate,+10,+3,Freeze,0,0,50988.18
200+,Early-stage,Finance,Declining,<5,Increasing,Low-cost,Over-stretched,532,>20,Some skill gaps,Below market,High,Low,Very limited,Moderate,+20,+5,Net new hires,0,0,454078.41
51-200,Scaling,Tech,Declining,10-20,Increasing,Market-average,Over-stretched,129,>20,Fully covered,Market-aligned,High,Medium,Moderate,Moderate,+10,0,Net new hires,0,1,112453.05
200+,Early-stage,Retail,Growing_slowly,5-10,Increasing,Market-average,Over-stretched,582,10-20,Some skill gaps,Below market,High,Medium,Flexible,Difficult,+5,0,Net new hires,1,1,553718.6
1-10,Growth,Retail,Flat,<5,Stable,Market-average,Optimal,7,10-20,Some skill gaps,Market-aligned,Unsustainable,High,Moderate,Moderate,0,+3,Replace only,1,1,5272.38
51-200,Scaling,Finance,Growing_fast,5-10,Increasing,Market-average,Optimal,158,10-20,Fully covered,Below market,High,Medium,Moderate,Moderate,+5,+5,Replace only,1,1,78417.78
11-50,Growth,Tech,Growing_slowly,>20,Stable,Market-average,Over-stretched,24,5-10,Some skill gaps,Above market,Sustainable,Medium,Moderate,Easy,0,+5,Replace only,1,0,10871.48
11-50,Early-stage,Other,Declining,5-10,Increasing,Market-average,Under-utilised,31,5-10,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Easy,0,0,Net new hires,1,0,16105.85
200+,Early-stage,Services,Declining,<5,Stable,Market-average,Under-utilised,369,5-10,Some skill gaps,Market-aligned,High,Medium,Flexible,Easy,-10,+10,Net new hires,0,1,255164.52
200+,Growth,Tech,Growing_slowly,5-10,Declining,Premium,Under-utilised,507,10-20,Some skill gaps,Below market,High,Medium,Very limited,Moderate,+5,+3,Replace only,1,0,349800.76
51-200,Growth,Tech,Flat,5-10,Increasing,Premium,Optimal,100,5-10,Significant gaps,Below market,High,Medium,Moderate,Moderate,0,+3,Replace only,0,1,62298.7
11-50,Early-stage,Tech,Flat,10-20,Increasing,Premium,Optimal,40,10-20,Fully covered,Market-aligned,Sustainable,High,Moderate,Easy,+5,+5,Net new hires,1,0,17486.65
11-50,Scaling,Tech,Flat,>20,Stable,Premium,Under-utilised,39,5-10,Fully covered,Market-aligned,High,Low,Moderate,Easy,+10,+3,Freeze,0,0,21628.37
11-50,Early-stage,Services,Flat,5-10,Stable,Premium,Optimal,36,5-10,Some skill gaps,Market-aligned,High,High,Very limited,Moderate,0,+5,Replace only,0,1,30948.42
11-50,Growth,Finance,Growing_slowly,5-10,Increasing,Market-average,Over-stretched,34,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Difficult,0,+3,Freeze,1,0,19212.44
11-50,Growth,Tech,Growing_slowly,5-10,Declining,Low-cost,Over-stretched,30,5-10,Fully covered,Below market,High,Low,Moderate,Easy,0,0,Replace only,0,1,24348.4
1-10,Early-stage,Other,Declining,>20,Stable,Premium,Over-stretched,8,10-20,Some skill gaps,Above market,Sustainable,Low,Flexible,Moderate,+5,0,Replace only,0,1,5964.43
1-10,Early-stage,Tech,Growing_slowly,5-10,Declining,Market-average,Over-stretched,7,5-10,Significant gaps,Market-aligned,High,High,Flexible,Difficult,0,+10,Replace only,1,1,4835.91
51-200,Early-stage,Retail,Flat,<5,Declining,Market-average,Optimal,135,<5,Some skill gaps,Above market,High,Medium,Moderate,Difficult,+5,+5,Freeze,1,0,81047.02
11-50,Early-stage,Other,Growing_slowly,>20,Declining,Premium,Over-stretched,43,5-10,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Moderate,-10,+10,Net new hires,0,0,22414.66
200+,Growth,Finance,Declining,>20,Increasing,Market-average,Optimal,436,5-10,Fully covered,Below market,High,High,Moderate,Moderate,+5,+5,Replace only,0,1,326064.98
51-200,Mature,Retail,Growing_slowly,5-10,Stable,Premium,Over-stretched,145,<5,Some skill gaps,Market-aligned,High,Low,Moderate,Easy,+5,+3,Replace only,0,0,94161.09
1-10,Scaling,Finance,Flat,5-10,Increasing,Market-average,Over-stretched,8,5-10,Some skill gaps,Above market,Sustainable,Low,Very limited,Easy,+5,0,Freeze,0,0,5386.0
1-10,Growth,Tech,Growing_slowly,10-20,Increasing,Low-cost,Optimal,8,10-20,Significant gaps,Below market,Unsustainable,Low,Moderate,Difficult,+20,+3,Net new hires,1,0,8161.98
1-10,Growth,Tech,Flat,10-20,Declining,Premium,Optimal,6,10-20,Fully covered,Market-aligned,High,Medium,Moderate,Moderate,0,+3,Replace only,1,1,3888.82
200+,Growth,Services,Growing_fast,5-10,Increasing,Market-average,Optimal,410,>20,Some skill gaps,Market-aligned,High,Medium,Flexible,Moderate,+5,0,Net new hires,0,0,355842.74
1-10,Scaling,Tech,Flat,5-10,Stable,Market-average,Optimal,7,<5,Significant gaps,Market-aligned,Sustainable,Low,Moderate,Easy,0,+5,Replace only,1,1,4005.31
11-50,Early-stage,Services,Growing_fast,5-10,Increasing,Market-average,Under-utilised,42,5-10,Fully covered,Market-aligned,High,Low,Flexible,Moderate,+20,0,Replace only,1,1,37302.41
200+,Growth,Tech,Growing_fast,5-10,Stable,Low-cost,Under-utilised,433,<5,Significant gaps,Market-aligned,Sustainable,Medium,Moderate,Moderate,0,+3,Replace only,1,1,280367.81
200+,Growth,Other,Flat,<5,Stable,Low-cost,Optimal,499,10-20,Some skill gaps,Above market,Sustainable,Low,Very limited,Moderate,+5,+5,Replace only,1,0,298829.06
1-10,Early-stage,Other,Flat,10-20,Stable,Low-cost,Under-utilised,8,<5,Some skill gaps,Market-aligned,High,Medium,Flexible,Easy,0,+5,Net new hires,1,1,4361.43
1-10,Growth,Finance,Flat,<5,Increasing,Low-cost,Over-stretched,7,<5,Fully covered,Above market,Unsustainable,Medium,Moderate,Moderate,+20,+3,Replace only,1,0,4227.16
1-10,Mature,Finance,Growing_fast,5-10,Stable,Market-average,Optimal,6,5-10,Some skill gaps,Below market,Sustainable,Low,Moderate,Easy,+5,0,Freeze,1,0,4135.48
1-10,Mature,Tech,Growing_slowly,10-20,Increasing,Market-average,Over-stretched,5,5-10,Significant gaps,Below market,High,Low,Very limited,Moderate,+5,+3,Replace only,0,0,3368.78
1-10,Early-stage,Tech,Growing_slowly,5-10,Declining,Low-cost,Optimal,7,5-10,Fully covered,Below market,High,Medium,Flexible,Moderate,+5,0,Replace only,0,1,6071.49
11-50,Growth,Retail,Declining,5-10,Stable,Market-average,Optimal,34,10-20,Some skill gaps,Market-aligned,High,Medium,Very limited,Moderate,+10,0,Replace only,1,0,18106.76
200+,Growth,Retail,Growing_fast,>20,Stable,Market-average,Optimal,397,10-20,Fully covered,Market-aligned,High,Medium,Flexible,Easy,-10,+5,Net new hires,0,0,217504.09
11-50,Growth,Services,Declining,<5,Declining,Market-average,Over-stretched,36,5-10,Fully covered,Below market,Sustainable,Medium,Very limited,Moderate,0,0,Replace only,0,0,26533.49
51-200,Growth,Services,Declining,>20,Declining,Premium,Under-utilised,157,5-10,Some skill gaps,Market-aligned,High,High,Very limited,Moderate,0,+3,Net new hires,0,0,104874.19
1-10,Early-stage,Services,Flat,<5,Stable,Premium,Optimal,9,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Flexible,Moderate,0,+3,Replace only,1,0,5073.86
51-200,Scaling,Tech,Growing_slowly,5-10,Increasing,Premium,Optimal,121,<5,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Easy,+5,+10,Replace only,1,1,41283.66
51-200,Mature,Services,Growing_fast,10-20,Increasing,Low-cost,Optimal,122,<5,Fully covered,Market-aligned,High,High,Moderate,Difficult,+20,+5,Replace only,1,1,67769.05
200+,Scaling,Services,Growing_slowly,5-10,Stable,Market-average,Under-utilised,497,5-10,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Moderate,+5,+5,Net new hires,1,0,272984.08
200+,Scaling,Retail,Flat,5-10,Stable,Low-cost,Optimal,470,<5,Fully covered,Above market,Sustainable,Medium,Moderate,Moderate,0,+5,Replace only,1,0,156126.48
11-50,Growth,Other,Flat,<5,Declining,Market-average,Under-utilised,38,<5,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Easy,+5,0,Freeze,0,0,16349.28
1-10,Growth,Services,Growing_slowly,5-10,Increasing,Premium,Over-stretched,8,10-20,Fully covered,Above market,Sustainable,Medium,Very limited,Moderate,0,0,Net new hires,0,1,4636.51
1-10,Early-stage,Finance,Growing_slowly,<5,Increasing,Market-average,Under-utilised,8,10-20,Some skill gaps,Above market,Sustainable,High,Moderate,Moderate,+5,0,Replace only,1,0,4477.02
11-50,Growth,Finance,Flat,10-20,Increasing,Premium,Optimal,31,<5,Fully covered,Above market,Sustainable,Low,Very limited,Moderate,+5,+3,Replace only,1,1,15267.86
200+,Early-stage,Tech,Flat,5-10,Increasing,Market-average,Under-utilised,477,5-10,Significant gaps,Below market,Sustainable,Medium,Flexible,Easy,+5,0,Net new hires,0,1,350319.23
11-50,Scaling,Retail,Growing_slowly,5-10,Stable,Market-average,Over-stretched,23,>20,Fully covered,Market-aligned,High,Low,Moderate,Moderate,+20,+10,Freeze,0,1,16760.86
51-200,Growth,Services,Growing_fast,<5,Stable,Low-cost,Optimal,125,5-10,Some skill gaps,Market-aligned,High,Medium,Moderate,Moderate,-10,0,Replace only,0,1,63756.59
11-50,Growth,Retail,Growing_slowly,5-10,Increasing,Premium,Optimal,24,10-20,Fully covered,Below market,Unsustainable,Low,Moderate,Moderate,+10,0,Replace only,1,1,23232.66
1-10,Growth,Tech,Declining,5-10,Declining,Market-average,Optimal,8,<5,Fully covered,Market-aligned,Unsustainable,Medium,Moderate,Easy,+10,+3,Replace only,0,1,4756.05
11-50,Mature,Other,Growing_slowly,5-10,Declining,Low-cost,Over-stretched,30,>20,Some skill gaps,Below market,Unsustainable,High,Moderate,Difficult,0,0,Net new hires,0,1,32398.04
51-200,Early-stage,Other,Flat,10-20,Stable,Low-cost,Under-utilised,143,<5,Fully covered,Market-aligned,High,Low,Moderate,Difficult,+10,0,Freeze,1,0,72996.55
51-200,Early-stage,Tech,Growing_fast,<5,Increasing,Premium,Over-stretched,122,5-10,Fully covered,Market-aligned,Sustainable,Low,Moderate,Moderate,0,+10,Net new hires,0,0,63609.5
11-50,Early-stage,Tech,Flat,<5,Increasing,Low-cost,Over-stretched,35,>20,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Moderate,+5,0,Replace only,0,1,25772.24
1-10,Scaling,Tech,Flat,10-20,Increasing,Premium,Under-utilised,8,10-20,Some skill gaps,Above market,Unsustainable,Medium,Moderate,Moderate,0,+5,Net new hires,1,1,6290.38
51-200,Mature,Finance,Growing_slowly,<5,Stable,Market-average,Under-utilised,105,<5,Fully covered,Market-aligned,Unsustainable,Low,Very limited,Moderate,0,+5,Freeze,1,1,75440.19
1-10,Early-stage,Retail,Flat,<5,Stable,Market-average,Optimal,9,10-20,Fully covered,Market-aligned,High,Low,Flexible,Moderate,+5,0,Net new hires,1,1,5981.25
200+,Mature,Tech,Flat,10-20,Stable,Market-average,Under-utilised,500,>20,Fully covered,Below market,High,Low,Moderate,Moderate,0,0,Net new hires,0,1,486111.21
1-10,Growth,Finance,Growing_slowly,10-20,Increasing,Market-average,Optimal,7,5-10,Some skill gaps,Above market,Sustainable,Low,Moderate,Moderate,0,+3,Replace only,1,0,3731.08
1-10,Scaling,Services,Growing_slowly,<5,Stable,Market-average,Optimal,6,<5,Significant gaps,Below market,Sustainable,Medium,Moderate,Easy,+5,+5,Net new hires,1,1,3609.47
11-50,Early-stage,Services,Growing_fast,<5,Increasing,Low-cost,Under-utilised,33,5-10,Fully covered,Market-aligned,High,Medium,Very limited,Moderate,+5,+5,Replace only,1,1,20803.77
11-50,Growth,Services,Flat,5-10,Stable,Low-cost,Optimal,34,>20,Fully covered,Below market,Sustainable,Medium,Very limited,Moderate,-10,0,Replace only,1,0,27810.56
11-50,Scaling,Services,Declining,5-10,Increasing,Premium,Optimal,29,<5,Some skill gaps,Below market,High,Low,Moderate,Moderate,+10,0,Replace only,0,1,22121.55
11-50,Growth,Services,Growing_slowly,5-10,Increasing,Market-average,Optimal,32,5-10,Significant gaps,Market-aligned,High,High,Moderate,Easy,+20,+3,Replace only,1,1,23486.83
